,,ACW_50,ACW_0,ACW_Nadir
sub-055P,motor,"[2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 8.0, 8.0]","[4.0, 4.0, 4.0, 8.0]"
sub-055P,dmn,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[6.0, 8.0, 6.0, 4.0, 4.0, 6.0]","[8.0, 8.0, 8.0, 8.0, 4.0, 8.0]"
sub-055P,fpn,"[2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 6.0, 4.0]","[4.0, 4.0, 6.0, 6.0]"
sub-055P,salience,"[2.0, 2.0, 2.0, 2.0]","[2.0, 4.0, 6.0, 2.0]","[4.0, 4.0, 8.0, 2.0]"
sub-055P,limbic,"[2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 4.0, 4.0]","[4.0, 4.0, 4.0, 4.0]"
sub-056P,auditory,"[2.0, 2.0, 2.0, 2.0]","[8.0, 4.0, 8.0, 6.0]","[8.0, 4.0, 4.0, 10.0]"
sub-056P,visual,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[8.0, 8.0, 4.0, 6.0, 8.0, 8.0, 8.0, 6.0, 6.0, 6.0]","[16.0, 14.0, 4.0, 12.0, 4.0, 16.0, 14.0, 12.0, 10.0, 8.0]"
sub-056P,motor,"[2.0, 2.0, 2.0, 2.0]","[8.0, 8.0, 8.0, 4.0]","[8.0, 12.0, 8.0, 12.0]"
sub-056P,dmn,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[8.0, 8.0, 4.0, 8.0, 6.0, 6.0]","[8.0, 8.0, 4.0, 4.0, 8.0, 8.0]"
sub-056P,fpn,"[2.0, 2.0, 2.0, 2.0]","[12.0, 12.0, 4.0, 8.0]","[8.0, 12.0, 4.0, 8.0]"
sub-056P,salience,"[2.0, 2.0, 2.0, 2.0]","[8.0, 4.0, 4.0, 8.0]","[4.0, 4.0, 8.0, 8.0]"
sub-056P,limbic,"[2.0, 2.0, 2.0, 2.0]","[4.0, 2.0, 4.0, 6.0]","[4.0, 4.0, 4.0, 6.0]"
sub-061P,auditory,"[2.0, 2.0, 2.0, 2.0]","[2.0, 14.0, 6.0, 6.0]","[2.0, 4.0, 8.0, 12.0]"
sub-061P,visual,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[8.0, 6.0, 6.0, 4.0, 8.0, 6.0, 4.0, 8.0, 14.0, 10.0]","[8.0, 8.0, 12.0, 4.0, 8.0, 8.0, 4.0, 4.0, 4.0, 4.0]"
sub-061P,motor,"[2.0, 2.0, 2.0, 2.0]","[12.0, 4.0, 8.0, 8.0]","[4.0, 8.0, 8.0, 12.0]"
sub-061P,dmn,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[6.0, 6.0, 6.0, 8.0, 4.0, 4.0]","[8.0, 8.0, 6.0, 8.0, 8.0, 12.0]"
sub-061P,fpn,"[2.0, 2.0, 2.0, 2.0]","[8.0, 6.0, 8.0, 8.0]","[4.0, 8.0, 4.0, 8.0]"
sub-061P,salience,"[2.0, 2.0, 2.0, 2.0]","[6.0, 2.0, 6.0, 6.0]","[8.0, 2.0, 8.0, 8.0]"
sub-061P,limbic,"[2.0, 2.0, 2.0, 2.0]","[6.0, 4.0, 4.0, 4.0]","[8.0, 4.0, 4.0, 4.0]"
sub-069P,auditory,"[2.0, 2.0, 2.0, 2.0]","[4.0, 8.0, 8.0, 18.0]","[4.0, 4.0, 8.0, 12.0]"
sub-069P,visual,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[6.0, 12.0, 4.0, 6.0, 6.0, 8.0, 6.0, 6.0, 6.0, 8.0]","[8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0]"
