,,ACW_50,ACW_0,ACW_Nadir
sub-037P,dmn,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[2.0, 4.0, 4.0, 4.0, 4.0, 4.0]","[2.0, 4.0, 4.0, 4.0, 4.0, 6.0]"
sub-037P,fpn,"[2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 4.0, 4.0]","[4.0, 4.0, 4.0, 4.0]"
sub-037P,salience,"[2.0, 2.0, 2.0, 2.0]","[2.0, 2.0, 2.0, 10.0]","[4.0, 4.0, 4.0, 4.0]"
sub-037P,limbic,"[2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 8.0, 4.0]","[4.0, 4.0, 2.0, 4.0]"
sub-042P,auditory,"[2.0, 2.0, 2.0, 2.0]","[4.0, 6.0, 8.0, 8.0]","[4.0, 8.0, 4.0, 8.0]"
sub-042P,visual,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 10.0, 8.0]","[12.0, 12.0, 8.0, 4.0, 8.0, 8.0, 4.0, 12.0, 4.0, 8.0]"
sub-042P,motor,"[2.0, 2.0, 2.0, 2.0]","[12.0, 10.0, 12.0, 4.0]","[4.0, 12.0, 4.0, 4.0]"
sub-042P,dmn,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[8.0, 2.0, 8.0, 8.0, 6.0, 8.0]","[2.0, 2.0, 4.0, 12.0, 8.0, 8.0]"
sub-042P,fpn,"[2.0, 2.0, 2.0, 2.0]","[8.0, 8.0, 12.0, 10.0]","[4.0, 4.0, 14.0, 4.0]"
sub-042P,salience,"[2.0, 2.0, 2.0, 2.0]","[4.0, 2.0, 8.0, 8.0]","[4.0, 8.0, 4.0, 4.0]"
sub-042P,limbic,"[2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 2.0, 4.0]","[4.0, 4.0, 4.0, 4.0]"
sub-046P,auditory,"[2.0, 2.0, 2.0, 2.0]","[2.0, 8.0, 2.0, 6.0]","[2.0, 4.0, 2.0, 8.0]"
sub-046P,visual,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[8.0, 2.0, 2.0, 2.0, 8.0, 8.0, 2.0, 2.0, 2.0, 2.0]","[12.0, 2.0, 2.0, 2.0, 8.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
sub-046P,motor,"[2.0, 2.0, 2.0, 2.0]","[8.0, 4.0, 2.0, 2.0]","[4.0, 4.0, 2.0, 2.0]"
sub-046P,dmn,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[2.0, 4.0, 8.0, 8.0, 2.0, 2.0]","[4.0, 4.0, 8.0, 8.0, 2.0, 2.0]"
sub-046P,fpn,"[2.0, 2.0, 2.0, 2.0]","[2.0, 2.0, 2.0, 2.0]","[4.0, 2.0, 4.0, 4.0]"
sub-046P,salience,"[2.0, 2.0, 2.0, 2.0]","[2.0, 2.0, 2.0, 2.0]","[2.0, 2.0, 2.0, 4.0]"
sub-046P,limbic,"[2.0, 2.0, 2.0, 2.0]","[2.0, 8.0, 8.0, 2.0]","[2.0, 2.0, 8.0, 2.0]"
sub-048P,auditory,"[2.0, 2.0, 2.0, 2.0]","[6.0, 4.0, 6.0, 4.0]","[6.0, 4.0, 8.0, 8.0]"
sub-048P,visual,"[2.0, 4.0, 2.0, 2.0, 4.0, 4.0, 2.0, 2.0, 2.0, 2.0]","[8.0, 12.0, 4.0, 8.0, 8.0, 10.0, 8.0, 12.0, 10.0, 8.0]","[12.0, 12.0, 8.0, 8.0, 12.0, 12.0, 8.0, 8.0, 12.0, 8.0]"
sub-048P,motor,"[2.0, 2.0, 2.0, 2.0]","[6.0, 8.0, 4.0, 4.0]","[6.0, 8.0, 4.0, 4.0]"
