,,ACW_50,ACW_0,ACW_Nadir
sub-025C,visual,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[8.0, 8.0, 4.0, 6.0, 8.0, 6.0, 6.0, 8.0, 8.0, 8.0]","[12.0, 12.0, 4.0, 12.0, 2.0, 2.0, 6.0, 8.0, 8.0, 12.0]"
sub-025C,motor,"[2.0, 2.0, 2.0, 2.0]","[4.0, 6.0, 8.0, 6.0]","[4.0, 6.0, 8.0, 8.0]"
sub-025C,dmn,"[2.0, 2.0, 2.0, 2.0, 4.0, 2.0]","[10.0, 6.0, 6.0, 8.0, 8.0, 6.0]","[6.0, 12.0, 12.0, 8.0, 12.0, 12.0]"
sub-025C,fpn,"[4.0, 2.0, 2.0, 2.0]","[8.0, 6.0, 8.0, 6.0]","[12.0, 12.0, 12.0, 12.0]"
sub-025C,salience,"[2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 4.0, 8.0]","[4.0, 4.0, 4.0, 12.0]"
sub-025C,limbic,"[2.0, 2.0, 2.0, 2.0]","[4.0, 2.0, 2.0, 8.0]","[4.0, 4.0, 4.0, 2.0]"
sub-026C,auditory,"[2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 4.0, 4.0]","[4.0, 4.0, 4.0, 6.0]"
sub-026C,visual,"[2.0, 2.0, 2.0, 4.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[12.0, 8.0, 12.0, 10.0, 12.0, 12.0, 6.0, 10.0, 8.0, 10.0]","[12.0, 8.0, 6.0, 12.0, 16.0, 4.0, 12.0, 4.0, 12.0, 12.0]"
sub-026C,motor,"[2.0, 2.0, 2.0, 2.0]","[4.0, 6.0, 6.0, 10.0]","[4.0, 6.0, 6.0, 4.0]"
sub-026C,dmn,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[6.0, 6.0, 6.0, 6.0, 8.0, 8.0]","[8.0, 8.0, 8.0, 8.0, 12.0, 8.0]"
sub-026C,fpn,"[2.0, 2.0, 2.0, 4.0]","[12.0, 8.0, 10.0, 10.0]","[8.0, 12.0, 12.0, 12.0]"
sub-026C,salience,"[2.0, 2.0, 2.0, 2.0]","[4.0, 2.0, 12.0, 10.0]","[4.0, 4.0, 8.0, 4.0]"
sub-026C,limbic,"[2.0, 2.0, 2.0, 2.0]","[6.0, 4.0, 4.0, 4.0]","[8.0, 4.0, 4.0, 4.0]"
sub-027C,auditory,"[2.0, 2.0, 2.0, 2.0]","[8.0, 8.0, 12.0, 12.0]","[4.0, 4.0, 4.0, 8.0]"
sub-027C,visual,"[2.0, 4.0, 2.0, 2.0, 4.0, 4.0, 2.0, 2.0, 4.0, 2.0]","[14.0, 12.0, 8.0, 8.0, 12.0, 12.0, 12.0, 12.0, 14.0, 10.0]","[8.0, 8.0, 4.0, 8.0, 26.0, 20.0, 14.0, 4.0, 20.0, 12.0]"
sub-027C,motor,"[2.0, 4.0, 2.0, 2.0]","[10.0, 8.0, 4.0, 8.0]","[6.0, 16.0, 6.0, 12.0]"
sub-027C,dmn,"[2.0, 2.0, 2.0, 2.0, 4.0, 4.0]","[6.0, 6.0, 4.0, 8.0, 6.0, 6.0]","[12.0, 12.0, 4.0, 8.0, 12.0, 8.0]"
sub-027C,fpn,"[4.0, 2.0, 2.0, 2.0]","[8.0, 6.0, 6.0, 6.0]","[10.0, 10.0, 12.0, 8.0]"
sub-027C,salience,"[2.0, 2.0, 4.0, 4.0]","[6.0, 4.0, 12.0, 8.0]","[8.0, 4.0, 24.0, 12.0]"
sub-027C,limbic,"[2.0, 2.0, 2.0, 2.0]","[6.0, 4.0, 12.0, 4.0]","[8.0, 4.0, 4.0, 4.0]"
sub-028C,auditory,"[2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 4.0, 4.0]","[4.0, 4.0, 4.0, 4.0]"
sub-028C,visual,"[2.0, 2.0, 2.0, 4.0, 2.0, 2.0, 4.0, 4.0, 2.0, 2.0]","[10.0, 6.0, 6.0, 6.0, 8.0, 4.0, 6.0, 8.0, 12.0, 6.0]","[4.0, 6.0, 12.0, 10.0, 8.0, 4.0, 12.0, 12.0, 4.0, 12.0]"
sub-028C,motor,"[2.0, 2.0, 2.0, 2.0]","[4.0, 6.0, 4.0, 4.0]","[4.0, 12.0, 6.0, 4.0]"
sub-028C,dmn,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[4.0, 10.0, 6.0, 8.0, 4.0, 6.0]","[6.0, 4.0, 6.0, 8.0, 4.0, 14.0]"
sub-028C,fpn,"[2.0, 2.0, 2.0, 2.0]","[8.0, 6.0, 2.0, 6.0]","[12.0, 12.0, 4.0, 12.0]"
sub-028C,salience,"[2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 4.0, 8.0]","[4.0, 4.0, 4.0, 4.0]"
sub-028C,limbic,"[2.0, 2.0, 2.0, 2.0]","[4.0, 8.0, 4.0, 8.0]","[4.0, 4.0, 4.0, 8.0]"
sub-029C,auditory,"[2.0, 2.0, 2.0, 2.0]","[8.0, 8.0, 8.0, 4.0]","[10.0, 12.0, 12.0, 4.0]"
sub-029C,visual,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 4.0, 4.0]","[10.0, 8.0, 6.0, 6.0, 8.0, 8.0, 6.0, 12.0, 12.0, 12.0]","[16.0, 8.0, 8.0, 8.0, 4.0, 4.0, 8.0, 20.0, 16.0, 20.0]"
sub-029C,motor,"[2.0, 2.0, 2.0, 2.0]","[10.0, 4.0, 8.0, 4.0]","[12.0, 12.0, 12.0, 4.0]"
sub-029C,dmn,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[8.0, 8.0, 6.0, 8.0, 4.0, 6.0]","[12.0, 12.0, 8.0, 12.0, 8.0, 12.0]"
sub-029C,fpn,"[2.0, 2.0, 2.0, 2.0]","[8.0, 6.0, 6.0, 6.0]","[2.0, 8.0, 10.0, 10.0]"
sub-029C,salience,"[2.0, 2.0, 2.0, 2.0]","[4.0, 8.0, 8.0, 4.0]","[8.0, 8.0, 4.0, 4.0]"
sub-029C,limbic,"[2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 4.0, 8.0]","[4.0, 4.0, 8.0, 8.0]"
sub-030C,auditory,"[2.0, 2.0, 2.0, 2.0]","[12.0, 8.0, 8.0, 8.0]","[6.0, 8.0, 12.0, 12.0]"
sub-030C,visual,"[4.0, 4.0, 4.0, 4.0, 2.0, 2.0, 4.0, 4.0, 4.0, 4.0]","[12.0, 12.0, 10.0, 10.0, 10.0, 10.0, 12.0, 12.0, 12.0, 12.0]","[18.0, 22.0, 12.0, 12.0, 12.0, 20.0, 20.0, 20.0, 24.0, 22.0]"
sub-030C,motor,"[2.0, 4.0, 4.0, 2.0]","[8.0, 6.0, 12.0, 8.0]","[8.0, 10.0, 24.0, 8.0]"
sub-030C,dmn,"[4.0, 4.0, 2.0, 2.0, 2.0, 2.0]","[6.0, 6.0, 6.0, 6.0, 6.0, 6.0]","[14.0, 6.0, 8.0, 8.0, 6.0, 6.0]"
sub-030C,fpn,"[2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 6.0, 8.0]","[8.0, 6.0, 10.0, 8.0]"
sub-030C,salience,"[2.0, 2.0, 2.0, 2.0]","[4.0, 8.0, 4.0, 4.0]","[4.0, 4.0, 4.0, 8.0]"
sub-030C,limbic,"[2.0, 2.0, 2.0, 2.0]","[4.0, 8.0, 4.0, 4.0]","[4.0, 4.0, 6.0, 8.0]"
sub-031C,auditory,"[2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 4.0, 4.0]","[4.0, 4.0, 4.0, 4.0]"
sub-031C,visual,"[4.0, 4.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 2.0]","[12.0, 12.0, 10.0, 8.0, 12.0, 12.0, 12.0, 8.0, 12.0, 10.0]","[22.0, 16.0, 12.0, 12.0, 12.0, 12.0, 8.0, 8.0, 22.0, 12.0]"
sub-031C,motor,"[2.0, 4.0, 2.0, 2.0]","[8.0, 10.0, 6.0, 8.0]","[8.0, 12.0, 8.0, 8.0]"
sub-031C,dmn,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[6.0, 8.0, 8.0, 8.0, 6.0, 6.0]","[8.0, 4.0, 12.0, 12.0, 6.0, 8.0]"
sub-031C,fpn,"[2.0, 2.0, 2.0, 2.0]","[4.0, 6.0, 8.0, 6.0]","[6.0, 8.0, 14.0, 8.0]"
sub-031C,salience,"[2.0, 2.0, 2.0, 2.0]","[2.0, 2.0, 8.0, 8.0]","[4.0, 2.0, 8.0, 10.0]"
sub-031C,limbic,"[2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 2.0, 2.0]","[4.0, 4.0, 4.0, 4.0]"
